city,name,dba,phone,carrier_type,active_trucks,mailing_address,effective_date,active_no
Abbott,*** City Data Not Found ***
Abernathy,4 LAMB PTR,GORDON AUTOMOTIVE,8062982675,Tow Truck Company - Commercial Carrier,3,"1111 WEST SERVICE ROAD
ABERNATHY, TX. 79311
",8/31/2007,0000038106
Abilene,O'BAR WRECKER SERVICE,NO DATA,3256734581,Tow Truck Company - Commercial Carrier,1,"1502 RICHLAND DR
ABILENE, TX. 79603
",7/31/2016,0000039322
Abilene,"FM 600 WRECKING, INC.",NO DATA,9156722597,Tow Truck Company,3,"9402 WEST LAKE RD
ABILENE, TX. 79601
",11/8/2016,005040190C
Abilene,TERRY & CARLENE TOWING & AUTO RECOVERY,TERRY & CARLENE TOWING & AUTO RECOVERY,3253385885,Tow Truck Company,1,"2056 BRIDGE AVE
ABILENE, TX. 79603
",5/4/2017,006498735C
Abilene,LOCATE & RECOVER,LOCATE & RECOVER,3255185886,Tow Truck Company,1,"718 JEANETTE
ABILENE, TX. 79602
",12/17/2016,006468591C
Abilene,ALL-STAR WRECKER SERVICE,NO DATA,325-795-9631,Tow Truck Company,4,"2566 S TREADAWAY
ABILENE, TX. 79602
",3/17/2009,005396734C
Abilene,ABILENE AUTO WRECKING,NO DATA,3256728542,Tow Truck Company,1,"4001 PINE STREET
ABILENE, TX. 79601
",2/14/2017,005059531C
Abilene,M&R WRECKER & RECOVERY INC.,NO DATA,3258296179,Tow Truck Company,1,"2002  HENSON ST
ABILENE, TX. 79603
",5/17/2017,006509283C
Abilene,JR MCDANIEL INC,JACK'S TOWING AND RECOVERY,3255139964,Tow Truck Company,4,"2726  PALM ST
ABILENE, TX. 79602
",10/1/2016,006516168C
Abilene,MIKAELA ALLMAND,BLUE LEAF ENTERPRISE,3253384760,Tow Truck Company,1,"PO BOX 2312
ABILENE, TX. 79604
",1/13/2017,006520271C
Abilene,SUDDEN IMPACT TOWING,NO DATA,325 673 3203,Tow Truck Company,7,"442 WILLOW
ABILENE, TX. 79602
",9/8/2016,005059091C
